date,usage,temperature,humidity,wind_speed,day_of_week,is_holiday
2023-01-01,17019,39.13236538558617,35.68282039478056,8.325287211398042,6,1
2023-01-02,19858,27.890711027680272,98.0786583116725,11.421771556136184,0,1
2023-01-03,15745,26.693327643908297,49.77696196617285,3.4237586438829752,1,1
2023-01-04,15647,31.472599814728085,61.64979592391171,10.22826821663179,2,0
2023-01-05,19667,37.04632189490988,84.61225304428828,1.355111670579709,3,0
2023-01-06,15688,33.45443628013218,94.12636882283195,7.308268346267678,4,0
2023-01-07,18394,35.95396024118364,70.01344198676836,2.397578523186832,5,1
2023-01-08,19763,34.856177708925486,56.213603837531494,5.218682149728176,6,1
2023-01-09,17508,31.694570126892554,73.35708711584628,6.919163740258048,0,1
2023-01-10,15712,37.30310483879181,43.85049317581846,10.040570036031495,1,1
2023-01-11,16109,36.4161149404719,30.01702117178517,9.122297535968574,2,0
2023-01-12,19156,27.753313792066486,87.00659093081485,6.19878097355991,3,0
2023-01-13,15447,25.731853431256223,48.260443305915274,11.914041839171473,4,0
2023-01-14,17861,26.461552752492057,41.40714782479781,7.09555168441199,5,1
2023-01-15,17629,28.71411318698804,31.295563701247616,13.394735716685787,6,0
2023-01-16,17411,30.42092768977804,87.19596362491299,13.03348440599441,0,0
2023-01-17,16748,38.89235060081551,65.11285047415166,11.492470807147999,1,0
2023-01-18,19680,38.3531945464847,30.44602530222925,4.352486392150636,2,0
2023-01-19,16630,35.73559079512404,66.28673687641415,9.225396717259725,3,0
2023-01-20,18871,25.361799467218322,61.37488818943794,8.928238867866632,4,1
2023-01-21,16285,33.43510668593679,59.04877052424018,10.768723694450676,5,0
2023-01-22,18304,25.454329143623493,61.42234442582189,9.604693278358567,6,1
2023-01-23,17622,27.55937147723091,45.98719493003532,3.475585424794247,0,1
2023-01-24,15399,32.14032505810589,58.58888039542773,0.6389680466604469,1,1
2023-01-25,18720,25.553724141866557,92.4069072752389,1.3968127310043688,2,1
2023-01-26,16375,34.476673612501976,64.41739535054907,9.80263156564148,3,1
2023-01-27,16268,36.476060710446774,34.17279479053585,6.30023094642535,4,0
2023-01-28,18060,25.081353419762074,36.7698703201929,6.998422250849781,5,1
2023-01-29,19395,25.242559989949044,74.59326806720973,6.000992054896448,6,0
2023-01-30,18131,34.17094677072557,89.9762370874429,4.866497563956042,0,1
2023-01-31,18407,35.93628714383434,40.33382632672045,0.6991589880441812,1,0
2023-02-01,18513,37.764897665165755,69.92514134236727,14.883596616634172,2,1
2023-02-02,16529,25.874527409550417,59.99622329690369,6.699722302533671,3,1
2023-02-03,15930,28.731940201986262,65.09350504005648,0.23775783247874438,4,0
2023-02-04,15346,35.807478883019286,31.951169415782598,8.842357655537716,5,0
2023-02-05,17335,32.9364842007017,76.93758427624391,7.04269410594672,6,0
2023-02-06,15495,30.790261425888186,94.97758706328948,10.493401476171773,0,1
2023-02-07,17589,31.18848309843434,44.31256854985841,7.874593225060745,1,1
2023-02-08,18884,37.47823149816462,51.105600251426324,3.312055733857056,2,1
2023-02-09,18544,26.798932006403113,44.791477850467196,0.16023945871642797,3,1
2023-02-10,15192,32.730169100124485,81.67893570753174,9.484922090591555,4,0
2023-02-11,15298,28.65672143806023,92.80273743126895,7.320502893404709,5,0
2023-02-12,15705,28.587546469023067,79.60474377191656,6.581717044129327,6,0
2023-02-13,19357,33.01606934054186,39.19031253376456,6.96022855315316,0,0
2023-02-14,18060,29.028021976970415,98.04946909653573,6.899595011893702,1,0
2023-02-15,16976,27.34913826638641,35.74573319623203,12.726058640211512,2,1
2023-02-16,17581,31.433509674507867,54.122423686501065,14.492695788142623,3,1
2023-02-17,19085,34.577263176733396,33.928364068522065,1.340209264360942,4,0
2023-02-18,19330,26.131491927263077,52.488048022241486,4.217381228295867,5,0
2023-02-19,19739,39.452287498874384,95.56159521936198,5.413273242758131,6,0
2023-02-20,15983,29.53335341344905,54.16392652659414,5.522400678559679,0,0
